   ELEMENT       X-STR          Y-STR          XY-STR
    473        0.195E+03     -0.194E+01      0.549E+01
    474        0.214E+03      0.123E+01     -0.230E+01
    475        0.214E+03     -0.179E+01      0.509E+01
    476        0.232E+03      0.141E+01     -0.275E+01
    477        0.232E+03     -0.169E+01      0.467E+01
    478        0.251E+03      0.153E+01     -0.323E+01
    479        0.250E+03     -0.164E+01      0.421E+01
    480        0.269E+03      0.161E+01     -0.373E+01
    481       -0.269E+03     -0.115E+02      0.425E+01
    482       -0.250E+03     -0.845E+01     -0.366E+01
    483       -0.250E+03     -0.115E+02      0.474E+01
    484       -0.231E+03     -0.839E+01     -0.311E+01
    485       -0.232E+03     -0.113E+02      0.518E+01
    486       -0.213E+03     -0.826E+01     -0.261E+01
    487       -0.214E+03     -0.111E+02      0.559E+01
    488       -0.195E+03     -0.808E+01     -0.215E+01
    489       -0.195E+03     -0.109E+02      0.596E+01
    490       -0.177E+03     -0.784E+01     -0.172E+01
    491       -0.177E+03     -0.105E+02      0.631E+01
    492       -0.159E+03     -0.755E+01     -0.133E+01
    493       -0.159E+03     -0.102E+02      0.663E+01
    494       -0.141E+03     -0.722E+01     -0.979E+00
    495       -0.142E+03     -0.982E+01      0.691E+01
    496       -0.123E+03     -0.685E+01     -0.662E+00
    497       -0.124E+03     -0.942E+01      0.716E+01
    498       -0.106E+03     -0.645E+01     -0.382E+00
    499       -0.106E+03     -0.898E+01      0.739E+01
    500       -0.878E+02     -0.602E+01     -0.139E+00
    501       -0.882E+02     -0.853E+01      0.757E+01
    502       -0.702E+02     -0.557E+01      0.654E-01
    503       -0.706E+02     -0.806E+01      0.773E+01
    504       -0.526E+02     -0.510E+01      0.231E+00
    505       -0.530E+02     -0.758E+01      0.784E+01
    506       -0.350E+02     -0.461E+01      0.358E+00
    507       -0.354E+02     -0.709E+01      0.793E+01
    508       -0.174E+02     -0.412E+01      0.446E+00
    509       -0.178E+02     -0.659E+01      0.797E+01
    510        0.200E+00     -0.362E+01      0.495E+00
    511       -0.214E+00     -0.610E+01      0.799E+01
    512        0.178E+02     -0.312E+01      0.504E+00
    513        0.174E+02     -0.560E+01      0.796E+01
    514        0.354E+02     -0.262E+01      0.473E+00
    515        0.349E+02     -0.512E+01      0.790E+01
    516        0.530E+02     -0.213E+01      0.402E+00
    517        0.525E+02     -0.465E+01      0.781E+01
    518        0.706E+02     -0.165E+01      0.291E+00
    519        0.702E+02     -0.420E+01      0.768E+01
    520        0.883E+02     -0.118E+01      0.140E+00
    521        0.878E+02     -0.378E+01      0.751E+01
    522        0.106E+03     -0.742E+00     -0.530E-01
    523        0.106E+03     -0.338E+01      0.730E+01
    524        0.124E+03     -0.326E+00     -0.287E+00
    525        0.123E+03     -0.301E+01      0.706E+01
    526        0.142E+03      0.588E-01     -0.564E+00
    527        0.141E+03     -0.269E+01      0.677E+01
    528        0.159E+03      0.410E+00     -0.885E+00
    529        0.159E+03     -0.240E+01      0.645E+01
    530        0.177E+03      0.722E+00     -0.125E+01
    531        0.177E+03     -0.215E+01      0.608E+01
    532        0.196E+03      0.994E+00     -0.166E+01
    533        0.195E+03     -0.196E+01      0.567E+01
    534        0.214E+03      0.122E+01     -0.211E+01
    535        0.213E+03     -0.180E+01      0.523E+01
    536        0.232E+03      0.140E+01     -0.260E+01
    537        0.231E+03     -0.170E+01      0.475E+01
