    NODE     X-DISP         Y-DISP
   589      0.241E-07     -0.332E-06
   590     -0.252E-07     -0.331E-06
   591     -0.235E-07     -0.331E-06
   592     -0.217E-07     -0.331E-06
   593     -0.200E-07     -0.332E-06
   594     -0.183E-07     -0.332E-06
   595     -0.166E-07     -0.332E-06
   596     -0.149E-07     -0.332E-06
   597     -0.132E-07     -0.332E-06
   598     -0.115E-07     -0.332E-06
   599     -0.986E-08     -0.332E-06
   600     -0.820E-08     -0.332E-06
   601     -0.654E-08     -0.332E-06
   602     -0.488E-08     -0.332E-06
   603     -0.323E-08     -0.332E-06
   604     -0.158E-08     -0.332E-06
   605      0.759E-10     -0.332E-06
   606      0.173E-08     -0.332E-06
   607      0.338E-08     -0.332E-06
   608      0.503E-08     -0.332E-06
   609      0.669E-08     -0.332E-06
   610      0.835E-08     -0.332E-06
   611      0.100E-07     -0.332E-06
   612      0.117E-07     -0.332E-06
   613      0.134E-07     -0.332E-06
   614      0.151E-07     -0.331E-06
   615      0.167E-07     -0.331E-06
   616      0.184E-07     -0.331E-06
   617      0.202E-07     -0.331E-06
   618      0.219E-07     -0.331E-06
   619      0.236E-07     -0.331E-06
   620      0.254E-07     -0.330E-06
   621     -0.265E-07     -0.329E-06
   622     -0.247E-07     -0.330E-06
   623     -0.228E-07     -0.330E-06
   624     -0.210E-07     -0.330E-06
   625     -0.192E-07     -0.330E-06
   626     -0.174E-07     -0.330E-06
   627     -0.157E-07     -0.330E-06
   628     -0.139E-07     -0.330E-06
   629     -0.121E-07     -0.330E-06
   630     -0.104E-07     -0.330E-06
   631     -0.862E-08     -0.330E-06
   632     -0.687E-08     -0.330E-06
   633     -0.513E-08     -0.330E-06
   634     -0.339E-08     -0.330E-06
   635     -0.166E-08     -0.330E-06
   636      0.803E-10     -0.330E-06
   637      0.182E-08     -0.330E-06
   638      0.355E-08     -0.330E-06
   639      0.529E-08     -0.330E-06
   640      0.703E-08     -0.330E-06
   641      0.878E-08     -0.330E-06
   642      0.105E-07     -0.330E-06
   643      0.123E-07     -0.330E-06
   644      0.140E-07     -0.330E-06
   645      0.158E-07     -0.330E-06
   646      0.176E-07     -0.330E-06
   647      0.194E-07     -0.329E-06
   648      0.212E-07     -0.329E-06
   649      0.230E-07     -0.329E-06
   650      0.248E-07     -0.329E-06
   651      0.267E-07     -0.329E-06
   652     -0.278E-07     -0.327E-06
   653     -0.258E-07     -0.328E-06
   654     -0.239E-07     -0.328E-06
   655     -0.220E-07     -0.328E-06
   656     -0.201E-07     -0.328E-06
   657     -0.183E-07     -0.328E-06
   658     -0.164E-07     -0.328E-06
   659     -0.146E-07     -0.328E-06
   660     -0.127E-07     -0.328E-06
   661     -0.109E-07     -0.328E-06
   662     -0.903E-08     -0.328E-06
   663     -0.720E-08     -0.328E-06
   664     -0.538E-08     -0.328E-06
   665     -0.355E-08     -0.328E-06
   666     -0.173E-08     -0.328E-06
   667      0.846E-10     -0.328E-06
   668      0.190E-08     -0.328E-06
   669      0.372E-08     -0.328E-06
   670      0.555E-08     -0.328E-06
   671      0.737E-08     -0.328E-06
   672      0.920E-08     -0.328E-06
   673      0.110E-07     -0.328E-06
   674      0.129E-07     -0.328E-06
   675      0.147E-07     -0.328E-06
   676      0.166E-07     -0.328E-06
   677      0.184E-07     -0.328E-06
